59m   Normal    Starting                       node/ip-172-31-24-171.us-west-2.compute.internal   
60m   Normal    Starting                       node/ip-172-31-32-185.us-west-2.compute.internal   
59m   Normal    Starting                       node/ip-172-31-45-91.us-west-2.compute.internal    
44m   Normal    Started                        pod/llm-proxy-857bf6d79d-jlz5f                     Container started
44m   Normal    Created                        pod/llm-proxy-857bf6d79d-jlz5f                     Container created
44m   Normal    Pulled                         pod/llm-proxy-857bf6d79d-jlz5f                     Successfully pulled image "ghcr.io/bobthebot988/llm-proxy:latest" in 5.518s (5.518s including waiting). Image size: 64753325 bytes.
27m   Normal    Created                        pod/llm-proxy-857bf6d79d-lzjc4                     Container created
27m   Normal    Started                        pod/llm-proxy-857bf6d79d-lzjc4                     Container started
27m   Normal    Pulled                         pod/llm-proxy-857bf6d79d-lzjc4                     Container image "ghcr.io/ggml-org/llama.cpp:server" already present on machine and can be accessed by the pod
18m   Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled down replica set llm-proxy-857bf6d79d from 4 to 3
18m   Normal    Killing                        pod/llm-proxy-857bf6d79d-lzjc4                     Stopping container fastapi-proxy
18m   Normal    Killing                        pod/llm-proxy-857bf6d79d-lzjc4                     Stopping container llama-server
18m   Normal    SuccessfulDelete               replicaset/llm-proxy-857bf6d79d                    Deleted pod: llm-proxy-857bf6d79d-lzjc4
18m   Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy-exp4             New size: 3; reason: All metrics below target
18m   Warning   Unhealthy                      pod/llm-proxy-857bf6d79d-lzjc4                     Readiness probe failed: Get "http://10.244.9.2:8000/health": dial tcp 10.244.9.2:8000: connect: connection refused
17m   Normal    Pulled                         pod/llm-proxy-857bf6d79d-jlz5f                     Container image "ghcr.io/ggml-org/llama.cpp:server" already present on machine and can be accessed by the pod
17m   Normal    Created                        pod/llm-proxy-857bf6d79d-jlz5f                     Container created
17m   Warning   Unhealthy                      pod/llm-proxy-857bf6d79d-jlz5f                     Readiness probe failed: HTTP probe failed with statuscode: 503
17m   Normal    Started                        pod/llm-proxy-857bf6d79d-jlz5f                     Container started
13m   Normal    Started                        pod/llm-proxy-857bf6d79d-thxs6                     Container started
13m   Normal    Created                        pod/llm-proxy-857bf6d79d-thxs6                     Container created
13m   Normal    Pulled                         pod/llm-proxy-857bf6d79d-thxs6                     Container image "ghcr.io/ggml-org/llama.cpp:server" already present on machine and can be accessed by the pod
13m   Normal    Scheduled                      pod/llm-proxy-857bf6d79d-mb6wl                     Successfully assigned default/llm-proxy-857bf6d79d-mb6wl to ip-172-31-45-91.us-west-2.compute.internal
13m   Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy-exp4             New size: 4; reason: cpu resource utilization (percentage of request) above target
13m   Normal    SuccessfulCreate               replicaset/llm-proxy-857bf6d79d                    Created pod: llm-proxy-857bf6d79d-mb6wl
13m   Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled up replica set llm-proxy-857bf6d79d from 3 to 4
13m   Normal    Pulled                         pod/llm-proxy-857bf6d79d-mb6wl                     Container image "curlimages/curl:8.21.0" already present on machine and can be accessed by the pod
13m   Normal    Created                        pod/llm-proxy-857bf6d79d-mb6wl                     Container created
13m   Normal    Started                        pod/llm-proxy-857bf6d79d-mb6wl                     Container started
12m   Normal    Created                        pod/llm-proxy-857bf6d79d-mb6wl                     Container created
12m   Normal    Started                        pod/llm-proxy-857bf6d79d-mb6wl                     Container started
12m   Normal    Pulling                        pod/llm-proxy-857bf6d79d-mb6wl                     Pulling image "ghcr.io/bobthebot988/llm-proxy:latest"
12m   Normal    Pulled                         pod/llm-proxy-857bf6d79d-mb6wl                     Successfully pulled image "ghcr.io/bobthebot988/llm-proxy:latest" in 354ms (354ms including waiting). Image size: 64753325 bytes.
12m   Normal    Created                        pod/llm-proxy-857bf6d79d-mb6wl                     Container created
12m   Normal    Pulled                         pod/llm-proxy-857bf6d79d-mb6wl                     Container image "ghcr.io/ggml-org/llama.cpp:server" already present on machine and can be accessed by the pod
12m   Normal    Started                        pod/llm-proxy-857bf6d79d-mb6wl                     Container started
12m   Warning   Unhealthy                      pod/llm-proxy-857bf6d79d-mb6wl                     Readiness probe failed: Get "http://10.244.9.3:8000/health": dial tcp 10.244.9.3:8000: connect: connection refused
