58m   Normal    Starting                       node/ip-172-31-28-201.us-west-2.compute.internal   
55m   Normal    Starting                       node/ip-172-31-30-49.us-west-2.compute.internal    
54m   Normal    Starting                       node/ip-172-31-38-45.us-west-2.compute.internal    
26m   Normal    Killing                        pod/llm-proxy-857bf6d79d-hrj5h                     Stopping container llama-server
26m   Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy                  New size: 1; reason: All metrics below target
26m   Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled down replica set llm-proxy-857bf6d79d from 2 to 1
26m   Normal    SuccessfulDelete               replicaset/llm-proxy-857bf6d79d                    Deleted pod: llm-proxy-857bf6d79d-hrj5h
26m   Normal    Killing                        pod/llm-proxy-857bf6d79d-hrj5h                     Stopping container fastapi-proxy
13m   Normal    Created                        pod/llm-proxy-857bf6d79d-9gm2k                     Container created
13m   Normal    Started                        pod/llm-proxy-857bf6d79d-9gm2k                     Container started
13m   Normal    Pulled                         pod/llm-proxy-857bf6d79d-9gm2k                     Container image "ghcr.io/ggml-org/llama.cpp:server" already present on machine and can be accessed by the pod
13m   Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/llm-proxy                  invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
13m   Warning   FailedGetResourceMetric        horizontalpodautoscaler/llm-proxy                  failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
13m   Normal    SuccessfulCreate               replicaset/llm-proxy-857bf6d79d                    Created pod: llm-proxy-857bf6d79d-vb4kw
13m   Normal    Scheduled                      pod/llm-proxy-857bf6d79d-vb4kw                     Successfully assigned default/llm-proxy-857bf6d79d-vb4kw to ip-172-31-30-49.us-west-2.compute.internal
13m   Normal    Pulled                         pod/llm-proxy-857bf6d79d-vb4kw                     Container image "curlimages/curl:8.21.0" already present on machine and can be accessed by the pod
13m   Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled up replica set llm-proxy-857bf6d79d from 1 to 2
13m   Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy                  New size: 2; reason: cpu resource utilization (percentage of request) above target
13m   Normal    Created                        pod/llm-proxy-857bf6d79d-vb4kw                     Container created
13m   Normal    Started                        pod/llm-proxy-857bf6d79d-vb4kw                     Container started
12m   Normal    Pulled                         pod/llm-proxy-857bf6d79d-vb4kw                     Successfully pulled image "ghcr.io/bobthebot988/llm-proxy:latest" in 334ms (334ms including waiting). Image size: 64752814 bytes.
12m   Normal    Pulled                         pod/llm-proxy-857bf6d79d-vb4kw                     Container image "ghcr.io/ggml-org/llama.cpp:server" already present on machine and can be accessed by the pod
12m   Normal    Created                        pod/llm-proxy-857bf6d79d-vb4kw                     Container created
12m   Normal    Started                        pod/llm-proxy-857bf6d79d-vb4kw                     Container started
12m   Normal    Pulling                        pod/llm-proxy-857bf6d79d-vb4kw                     Pulling image "ghcr.io/bobthebot988/llm-proxy:latest"
12m   Normal    Created                        pod/llm-proxy-857bf6d79d-vb4kw                     Container created
12m   Normal    Started                        pod/llm-proxy-857bf6d79d-vb4kw                     Container started
12m   Warning   Unhealthy                      pod/llm-proxy-857bf6d79d-vb4kw                     Readiness probe failed: Get "http://10.244.1.4:8000/health": dial tcp 10.244.1.4:8000: connect: connection refused
