35m     Normal    Starting                       node/ip-172-31-44-87.ec2.internal    
32m     Normal    Starting                       node/ip-172-31-13-209.ec2.internal   
32m     Normal    Starting                       node/ip-172-31-39-185.ec2.internal   
3m53s   Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy    New size: 2; reason: cpu resource utilization (percentage of request) above target
3m52s   Normal    Pulled                         pod/llm-proxy-7dc458997b-x227f       Container image "curlimages/curl:8.21.0" already present on machine and can be accessed by the pod
3m52s   Normal    Created                        pod/llm-proxy-7dc458997b-x227f       Container created
3m52s   Normal    Started                        pod/llm-proxy-7dc458997b-x227f       Container started
3m19s   Normal    Pulled                         pod/llm-proxy-7dc458997b-x227f       Container image "ghcr.io/ggml-org/llama.cpp:server" already present on machine and can be accessed by the pod
3m19s   Normal    Started                        pod/llm-proxy-7dc458997b-x227f       Container started
3m19s   Normal    Created                        pod/llm-proxy-7dc458997b-x227f       Container created
3m19s   Normal    Pulled                         pod/llm-proxy-7dc458997b-x227f       Successfully pulled image "ghcr.io/bobthebot988/llm-proxy:latest" in 137ms (137ms including waiting). Image size: 64753325 bytes.
3m19s   Normal    Pulling                        pod/llm-proxy-7dc458997b-x227f       Pulling image "ghcr.io/bobthebot988/llm-proxy:latest"
3m19s   Normal    Created                        pod/llm-proxy-7dc458997b-x227f       Container created
3m19s   Normal    Started                        pod/llm-proxy-7dc458997b-x227f       Container started
3m18s   Warning   Unhealthy                      pod/llm-proxy-7dc458997b-x227f       Readiness probe failed: Get "http://10.244.2.3:8000/health": dial tcp 10.244.2.3:8000: connect: connection refused
